library_id,sample_id,generator,target_risk,observed_risk,risk_score_mean,risk_score_std,risk_gap,target_match,collision_observed,collision_run_count,accepted_run_count,verification_basis,evidence_granularity,quality_tier,operational_quality,diversity_score,nearest_neighbor_distance,quality_flag_text
slv1_009f3375a1f7a48e,lhs_high_20260817_0223,lhs,high,medium,49.22233333333333,0.0200333056017554,-1.0,False,False,0,3,inherited_batch_acceptance,aggregate,bronze,0.888221112035497,0.4565660329459943,0.06848490494189914,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_01bf003597beeb8c,cvae_critical_20260818_0181,cvae,critical,critical,80.20166666666667,0.5123537189611592,0.0,True,True,3,3,inherited_batch_acceptance,aggregate,bronze,0.8718104315901836,0.15947128265959976,0.02392069239893996,aggregate_evidence_only;carla_version_not_recorded;collision_observed;low_relative_diversity;realism_not_assessed;run_level_evidence_not_embedded
slv1_05820741b96d57ae,cvae_critical_20260816_0052,cvae,critical,high,53.14666666666667,0.05513921774321292,-1.0,False,False,0,3,inherited_batch_acceptance,aggregate,bronze,0.8870509149641151,0.057497550586431564,0.008624632587964734,aggregate_evidence_only;carla_version_not_recorded;low_relative_diversity;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_06fa8282b0772d5e,cvae_high_20260815_0076,cvae,high,medium,48.626666666666665,0.027682726262659368,-1.0,False,False,0,3,inherited_batch_acceptance,aggregate,bronze,0.8879661313468002,0.12562527290920988,0.018843790936381482,aggregate_evidence_only;carla_version_not_recorded;low_relative_diversity;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_084a736f071c52b9,gmm_high_20260816_0040,gmm,high,medium,43.379,0.015524174696262976,-1.0,False,False,0,3,inherited_batch_acceptance,aggregate,bronze,0.8883714163990134,0.2853166670185158,0.042797500052777375,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_0da6d364b2858936,gmm_critical_20260813_0067,gmm,critical,critical,79.342,0.2217363299055828,0.0,True,True,3,3,direct_run_evidence,run_level,silver,0.9185347149290731,0.35606616808879077,0.05340992521331861,carla_version_not_recorded;collision_observed;historical_runtime_paths;realism_not_assessed
slv1_0debe298209ffb86,gmm_medium_20260813_0077,gmm,medium,medium,28.415000000000003,0.08496469855181156,0.0,True,False,0,3,direct_run_evidence,run_level,silver,0.9230937693075322,0.6914748008480317,0.10372122012720475,carla_version_not_recorded;historical_runtime_paths;realism_not_assessed
slv1_1056fc1a0c38486c,gmm_critical_20260816_0119,gmm,critical,medium,49.50233333333333,0.00472581562625237,-2.0,False,False,0,3,inherited_batch_acceptance,aggregate,bronze,0.8887313617013471,0.4397800283615538,0.06596700425423306,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_1067c835d061142c,lhs_high_20260815_0205,lhs,high,medium,48.94566666666666,0.10334569818494009,-1.0,False,False,0,3,inherited_batch_acceptance,aggregate,bronze,0.8854440322827242,0.6780946140678044,0.10171419211017065,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_110c96c990e15e6e,lhs_high_20260813_0106,lhs,high,high,51.74733333333334,0.09151138362702939,0.0,True,False,0,3,direct_run_evidence,run_level,silver,0.9228755464716917,0.4565660329459943,0.06848490494189914,carla_version_not_recorded;historical_runtime_paths;realism_not_assessed
